id,clubId,name,age,bornDate,url
4149,105,Pedro Ferreira,27,05/01/1998,https://www.transfermarkt.es/pedro-ferreira/profil/spieler/337799
4150,105,Dani Borges,22,06/04/2003,https://www.transfermarkt.es/dani-borges/profil/spieler/1083604
4151,105,Serginho,25,01/12/1999,https://www.transfermarkt.es/serginho/profil/spieler/836547
4152,105,Klismahn ,25,23/11/1999,https://www.transfermarkt.es/klismahn/profil/spieler/606719
4153,105,José Tavares,22,02/06/2003,https://www.transfermarkt.es/jose-tavares/profil/spieler/1292917
4154,105,Paulo Henrique,28,23/10/1996,https://www.transfermarkt.es/paulo-henrique/profil/spieler/292365
4155,105,Matheusinho,27,11/02/1998,https://www.transfermarkt.es/matheusinho/profil/spieler/401533
4156,105,Ricardinho,26,06/08/1998,https://www.transfermarkt.es/ricardinho/profil/spieler/671657
4157,105,Vital Maia,18,17/02/2007,https://www.transfermarkt.es/vital-maia/profil/spieler/1293043
4158,105,Gabriel Silva,23,22/03/2002,https://www.transfermarkt.es/gabriel-silva/profil/spieler/627224
4159,105,Rildo,25,21/01/2000,https://www.transfermarkt.es/rildo/profil/spieler/800177
4160,105,Bruno Almeida,28,09/09/1996,https://www.transfermarkt.es/bruno-almeida/profil/spieler/393581
4161,105,Rodrigo Varanda,22,11/01/2003,https://www.transfermarkt.es/rodrigo-varanda/profil/spieler/668237
4162,105,Adriel Moraes,19,06/12/2005,https://www.transfermarkt.es/adriel-moraes/profil/spieler/1127847
4163,105,Vinícius Lopes,26,07/05/1999,https://www.transfermarkt.es/vinicius-lopes/profil/spieler/688881
4164,105,Wendel,24,02/08/2000,https://www.transfermarkt.es/wendel/profil/spieler/589911
4165,105,Alisson Safira,30,17/03/1995,https://www.transfermarkt.es/alisson-safira/profil/spieler/443338
4166,105,João Costa,25,07/03/2000,https://www.transfermarkt.es/joao-costa/profil/spieler/856423
4167,105,Gustavo Veiga,19,03/01/2006,https://www.transfermarkt.es/gustavo-veiga/profil/spieler/1009034
4168,106,Nico Mantl,25,06/02/2000,https://www.transfermarkt.es/nico-mantl/profil/spieler/349536
4169,106,João Valido,25,03/03/2000,https://www.transfermarkt.es/joao-valido/profil/spieler/532900
4170,106,Thiago Silva,29,12/06/1996,https://www.transfermarkt.es/thiago-silva/profil/spieler/294817
4171,106,Jakub Vinarcik,19,11/07/2005,https://www.transfermarkt.es/jakub-vinarcik/profil/spieler/912688
4172,106,Chico Lamba,22,10/03/2003,https://www.transfermarkt.es/chico-lamba/profil/spieler/744186
4173,106,José Fontán ,25,11/02/2000,https://www.transfermarkt.es/jose-fontan/profil/spieler/609361
4174,106,Boris Popović,25,26/02/2000,https://www.transfermarkt.es/boris-popovic/profil/spieler/470796
4175,106,Matías Rocha,24,13/02/2001,https://www.transfermarkt.es/matias-rocha/profil/spieler/821824
4176,106,Nino Galović ,32,06/07/1992,https://www.transfermarkt.es/nino-galovic/profil/spieler/194005
4177,106,Weverson,24,05/07/2000,https://www.transfermarkt.es/weverson/profil/spieler/412367
4178,106,Amadou Dante,24,07/10/2000,https://www.transfermarkt.es/amadou-dante/profil/spieler/649087
4179,106,Quaresma,28,22/08/1996,https://www.transfermarkt.es/quaresma/profil/spieler/530032
4180,106,Tiago Esgaio,29,01/08/1995,https://www.transfermarkt.es/tiago-esgaio/profil/spieler/581121
4181,106,Alex Pinto,26,08/07/1998,https://www.transfermarkt.es/alex-pinto/profil/spieler/415645
4182,106,Mamadou Loum,28,30/12/1996,https://www.transfermarkt.es/mamadou-loum/profil/spieler/364237
4183,106,Uri Busquets,26,20/01/1999,https://www.transfermarkt.es/uri-busquets/profil/spieler/282721
4184,106,Morlaye Sylla,26,27/07/1998,https://www.transfermarkt.es/morlaye-sylla/profil/spieler/402112
4185,106,Taichi Fukui,20,15/07/2004,https://www.transfermarkt.es/taichi-fukui/profil/spieler/868622
4186,106,Pedro Santos,24,12/10/2000,https://www.transfermarkt.es/pedro-santos/profil/spieler/657435
4187,106,David Simão ,35,15/05/1990,https://www.transfermarkt.es/david-simao/profil/spieler/70359
4188,106,Pedro Moreira,36,15/03/1989,https://www.transfermarkt.es/pedro-moreira/profil/spieler/64371
